Directory,Id,Test Run ID,Test Case ID,Name,Status,Executed By,Executed End,Application,Module,Requirement,Requirement Name,Defect IDs
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70021,70021,50021,"Finance end-to-end scenario 021 — verify posting, clearing and the downstream document flow",Blocked,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Finance requirement 2,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70022,70022,50022,"Finance end-to-end scenario 022 — verify posting, clearing and the downstream document flow",Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1003,Finance requirement 3,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70023,70023,50023,"Finance end-to-end scenario 023 — verify posting, clearing and the downstream document flow",Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1003,Finance requirement 3,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70024,70024,50024,"Finance end-to-end scenario 024 — verify posting, clearing and the downstream document flow",Unexecuted,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1003,Finance requirement 3,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70025,70025,50025,"Finance end-to-end scenario 025 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1003,Finance requirement 3,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70026,70026,50026,"Finance end-to-end scenario 026 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1003,Finance requirement 3,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70027,70027,50027,"Finance end-to-end scenario 027 — verify posting, clearing and the downstream document flow",Unexecuted,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1003,Finance requirement 3,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70028,70028,50028,"Finance end-to-end scenario 028 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1003,Finance requirement 3,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70029,70029,50029,"Finance end-to-end scenario 029 — verify posting, clearing and the downstream document flow",Blocked,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1004,Finance requirement 4,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70030,70030,50030,"Finance end-to-end scenario 030 — verify posting, clearing and the downstream document flow",Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1004,Finance requirement 4,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70031,70031,50031,"Finance end-to-end scenario 031 — verify posting, clearing and the downstream document flow",Unexecuted,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1004,Finance requirement 4,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70032,70032,50032,"Finance end-to-end scenario 032 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1004,Finance requirement 4,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70033,70033,50033,"Finance end-to-end scenario 033 — verify posting, clearing and the downstream document flow",Unexecuted,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1004,Finance requirement 4,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70034,70034,50034,"Finance end-to-end scenario 034 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1004,Finance requirement 4,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70035,70035,50035,"Finance end-to-end scenario 035 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1004,Finance requirement 4,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70036,70036,50036,"Finance end-to-end scenario 036 — verify posting, clearing and the downstream document flow",Blocked,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1005,Finance requirement 5,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70037,70037,50037,"Finance end-to-end scenario 037 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1005,Finance requirement 5,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70038,70038,50038,"Finance end-to-end scenario 038 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1005,Finance requirement 5,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70039,70039,50039,"Finance end-to-end scenario 039 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1005,Finance requirement 5,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70040,70040,50040,"Finance end-to-end scenario 040 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1005,Finance requirement 5,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70041,70041,50041,"Finance end-to-end scenario 041 — verify posting, clearing and the downstream document flow",Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1005,Finance requirement 5,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70042,70042,50042,"Finance end-to-end scenario 042 — verify posting, clearing and the downstream document flow",Blocked,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1005,Finance requirement 5,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70043,70043,50043,"Finance end-to-end scenario 043 — verify posting, clearing and the downstream document flow",Unexecuted,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1006,Finance requirement 6,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70044,70044,50044,"Finance end-to-end scenario 044 — verify posting, clearing and the downstream document flow",Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1006,Finance requirement 6,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70045,70045,50045,"Finance end-to-end scenario 045 — verify posting, clearing and the downstream document flow",Unexecuted,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1006,Finance requirement 6,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70046,70046,50046,"Finance end-to-end scenario 046 — verify posting, clearing and the downstream document flow",Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1006,Finance requirement 6,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70047,70047,50047,"Finance end-to-end scenario 047 — verify posting, clearing and the downstream document flow",Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1006,Finance requirement 6,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70048,70048,50048,"Finance end-to-end scenario 048 — verify posting, clearing and the downstream document flow",Unexecuted,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1006,Finance requirement 6,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70049,70049,50049,"Finance end-to-end scenario 049 — verify posting, clearing and the downstream document flow",Blocked,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1006,Finance requirement 6,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70050,70050,50050,"Finance end-to-end scenario 050 — verify posting, clearing and the downstream document flow",Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1007,Finance requirement 7,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70051,70051,50051,"Finance end-to-end scenario 051 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1007,Finance requirement 7,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70052,70052,50052,"Finance end-to-end scenario 052 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1007,Finance requirement 7,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70053,70053,50053,"Finance end-to-end scenario 053 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1007,Finance requirement 7,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70054,70054,50054,"Finance end-to-end scenario 054 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1007,Finance requirement 7,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70055,70055,50055,"Finance end-to-end scenario 055 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1007,Finance requirement 7,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70056,70056,50056,"Finance end-to-end scenario 056 — verify posting, clearing and the downstream document flow",Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1007,Finance requirement 7,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70057,70057,50057,"Finance end-to-end scenario 057 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1008,Finance requirement 8,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70058,70058,50058,"Finance end-to-end scenario 058 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1008,Finance requirement 8,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70059,70059,50059,"Finance end-to-end scenario 059 — verify posting, clearing and the downstream document flow",Unexecuted,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1008,Finance requirement 8,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70060,70060,50060,"Finance end-to-end scenario 060 — verify posting, clearing and the downstream document flow",Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1008,Finance requirement 8,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70061,70061,50061,"Finance end-to-end scenario 061 — verify posting, clearing and the downstream document flow",Unexecuted,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1008,Finance requirement 8,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70062,70062,50062,"Finance end-to-end scenario 062 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1008,Finance requirement 8,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70063,70063,50063,"Finance end-to-end scenario 063 — verify posting, clearing and the downstream document flow",Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1008,Finance requirement 8,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70064,70064,50064,"Finance end-to-end scenario 064 — verify posting, clearing and the downstream document flow",Blocked,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1009,Finance requirement 9,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70065,70065,50065,"Finance end-to-end scenario 065 — verify posting, clearing and the downstream document flow",Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1009,Finance requirement 9,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70066,70066,50066,"Finance end-to-end scenario 066 — verify posting, clearing and the downstream document flow",Blocked,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1009,Finance requirement 9,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70067,70067,50067,"Finance end-to-end scenario 067 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1009,Finance requirement 9,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70068,70068,50068,"Finance end-to-end scenario 068 — verify posting, clearing and the downstream document flow",Blocked,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1009,Finance requirement 9,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70069,70069,50069,"Finance end-to-end scenario 069 — verify posting, clearing and the downstream document flow",Blocked,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1009,Finance requirement 9,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70070,70070,50070,"Finance end-to-end scenario 070 — verify posting, clearing and the downstream document flow",Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1009,Finance requirement 9,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70071,70071,50071,"Finance end-to-end scenario 071 — verify posting, clearing and the downstream document flow",Blocked,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1010,Finance requirement 10,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70072,70072,50072,"Finance end-to-end scenario 072 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1010,Finance requirement 10,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70073,70073,50073,"Finance end-to-end scenario 073 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1010,Finance requirement 10,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70074,70074,50074,"Finance end-to-end scenario 074 — verify posting, clearing and the downstream document flow",Unexecuted,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1010,Finance requirement 10,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70075,70075,50075,"Finance end-to-end scenario 075 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1010,Finance requirement 10,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70076,70076,50076,"Finance end-to-end scenario 076 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1010,Finance requirement 10,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70077,70077,50077,"Finance end-to-end scenario 077 — verify posting, clearing and the downstream document flow",Blocked,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1010,Finance requirement 10,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70078,70078,50078,"Finance end-to-end scenario 078 — verify posting, clearing and the downstream document flow",Unexecuted,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1011,Finance requirement 11,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70079,70079,50079,"Finance end-to-end scenario 079 — verify posting, clearing and the downstream document flow",Unexecuted,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1011,Finance requirement 11,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70080,70080,50080,"Finance end-to-end scenario 080 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1011,Finance requirement 11,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70081,70081,50081,"Finance end-to-end scenario 081 — verify posting, clearing and the downstream document flow",Unexecuted,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1011,Finance requirement 11,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70082,70082,50082,"Finance end-to-end scenario 082 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1011,Finance requirement 11,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70083,70083,50083,"Finance end-to-end scenario 083 — verify posting, clearing and the downstream document flow",Blocked,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1011,Finance requirement 11,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70084,70084,50084,"Finance end-to-end scenario 084 — verify posting, clearing and the downstream document flow",Blocked,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1011,Finance requirement 11,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70085,70085,50085,"Finance end-to-end scenario 085 — verify posting, clearing and the downstream document flow",Blocked,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1012,Finance requirement 12,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70086,70086,50086,"Finance end-to-end scenario 086 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1012,Finance requirement 12,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70087,70087,50087,"Finance end-to-end scenario 087 — verify posting, clearing and the downstream document flow",Unexecuted,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1012,Finance requirement 12,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70088,70088,50088,"Finance end-to-end scenario 088 — verify posting, clearing and the downstream document flow",Unexecuted,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1012,Finance requirement 12,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70089,70089,50089,"Finance end-to-end scenario 089 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1012,Finance requirement 12,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70090,70090,50090,"Finance end-to-end scenario 090 — verify posting, clearing and the downstream document flow",Unexecuted,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1012,Finance requirement 12,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70091,70091,50091,"Finance end-to-end scenario 091 — verify posting, clearing and the downstream document flow",Blocked,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1012,Finance requirement 12,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70092,70092,50092,"Finance end-to-end scenario 092 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1013,Finance requirement 13,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70093,70093,50093,"Finance end-to-end scenario 093 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1013,Finance requirement 13,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70094,70094,50094,"Finance end-to-end scenario 094 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1013,Finance requirement 13,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70095,70095,50095,"Finance end-to-end scenario 095 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1013,Finance requirement 13,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70096,70096,50096,"Finance end-to-end scenario 096 — verify posting, clearing and the downstream document flow",Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1013,Finance requirement 13,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70097,70097,50097,"Finance end-to-end scenario 097 — verify posting, clearing and the downstream document flow",Unexecuted,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1013,Finance requirement 13,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70098,70098,50098,"Finance end-to-end scenario 098 — verify posting, clearing and the downstream document flow",Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1013,Finance requirement 13,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70099,70099,50099,"Finance end-to-end scenario 099 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1014,Finance requirement 14,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70100,70100,50100,"Finance end-to-end scenario 100 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1014,Finance requirement 14,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70101,70101,50101,"Finance end-to-end scenario 101 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1014,Finance requirement 14,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70102,70102,50102,"Finance end-to-end scenario 102 — verify posting, clearing and the downstream document flow",Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1014,Finance requirement 14,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70103,70103,50103,"Finance end-to-end scenario 103 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1014,Finance requirement 14,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70104,70104,50104,"Finance end-to-end scenario 104 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1014,Finance requirement 14,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70105,70105,50105,"Finance end-to-end scenario 105 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1014,Finance requirement 14,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70106,70106,50106,"Finance end-to-end scenario 106 — verify posting, clearing and the downstream document flow",Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1015,Finance requirement 15,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70107,70107,50107,"Finance end-to-end scenario 107 — verify posting, clearing and the downstream document flow",Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1015,Finance requirement 15,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70108,70108,50108,"Finance end-to-end scenario 108 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1015,Finance requirement 15,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70109,70109,50109,"Finance end-to-end scenario 109 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1015,Finance requirement 15,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70110,70110,50110,"Finance end-to-end scenario 110 — verify posting, clearing and the downstream document flow",Blocked,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1015,Finance requirement 15,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70111,70111,50111,"Finance end-to-end scenario 111 — verify posting, clearing and the downstream document flow",Blocked,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1015,Finance requirement 15,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70112,70112,50112,"Finance end-to-end scenario 112 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1015,Finance requirement 15,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70113,70113,50113,"Finance end-to-end scenario 113 — verify posting, clearing and the downstream document flow",Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1016,Finance requirement 16,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70114,70114,50114,"Finance end-to-end scenario 114 — verify posting, clearing and the downstream document flow",Unexecuted,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1016,Finance requirement 16,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70115,70115,50115,"Finance end-to-end scenario 115 — verify posting, clearing and the downstream document flow",Blocked,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1016,Finance requirement 16,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70116,70116,50116,"Finance end-to-end scenario 116 — verify posting, clearing and the downstream document flow",Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1016,Finance requirement 16,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-70117,70117,50117,"Finance end-to-end scenario 117 — verify posting, clearing and the downstream document flow",Blocked,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1016,Finance requirement 16,
